sRGBA,r,g,b,a
1,235,235,235,255
2,222,222,222,255
3,235,235,235,255
4,222,222,222,255
5,235,235,235,255
6,222,222,222,255
7,235,235,235,255
8,235,235,235,255
9,235,235,235,255
10,235,235,235,255
11,235,235,235,255
12,235,235,235,255
13,235,235,235,255
14,235,235,235,255
15,235,235,235,255
16,235,235,235,255
17,235,235,235,255
18,235,235,235,255
19,235,235,235,255
20,235,235,235,255
21,235,235,235,255
22,235,235,235,255
23,235,235,235,255
24,235,235,235,255
25,235,235,235,255
26,235,235,235,255
27,235,235,235,255
28,235,235,235,255
29,235,235,235,255
30,235,235,235,255
31,235,235,235,255
32,235,235,235,255
