sRGBA,r,g,b,a,Y
0,209,209,209,0,n/a
1,209,209,209,0,n/a
2,209,209,209,0,n/a
3,209,209,209,0,n/a
4,209,209,209,0,n/a
5,209,209,209,0,n/a
6,209,209,209,0,n/a
7,209,209,209,0,n/a
8,209,209,209,0,n/a
9,209,209,209,0,n/a
10,209,209,209,0,n/a
11,209,209,209,0,n/a
12,209,209,209,0,n/a
13,209,209,209,0,n/a
14,209,209,209,0,n/a
15,223,223,223,255,0.73791
16,223,223,223,255,0.73791
17,223,223,223,255,0.73791
18,223,223,223,255,0.73791
19,223,223,223,255,0.73791
20,223,223,223,255,0.73791
21,223,223,223,255,0.73791
22,223,223,223,255,0.73791
23,223,223,223,255,0.73791
24,223,223,223,255,0.73791
25,223,223,223,255,0.73791
26,223,223,223,255,0.73791
27,223,223,223,255,0.73791
28,223,223,223,255,0.73791
29,223,223,223,255,0.73791
30,209,209,209,0,n/a
31,209,209,209,0,n/a
32,209,209,209,0,n/a
33,209,209,209,0,n/a
