sRGBA,r,g,b,a,Y
0,222,222,222,255,0.730461
1,235,235,235,255,0.83077
2,235,235,235,255,0.83077
3,235,235,235,255,0.83077
4,235,235,235,255,0.83077
5,222,222,222,255,0.730461
6,222,222,222,255,0.730461
7,222,222,222,255,0.730461
8,222,222,222,255,0.730461
9,222,222,222,255,0.730461
10,222,222,222,255,0.730461
11,222,222,222,255,0.730461
12,222,222,222,255,0.730461
13,222,222,222,255,0.730461
14,222,222,222,255,0.730461
15,222,222,222,255,0.730461
16,222,222,222,255,0.730461
17,222,222,222,255,0.730461
18,222,222,222,255,0.730461
19,222,222,222,255,0.730461
20,222,222,222,255,0.730461
21,222,222,222,255,0.730461
22,222,222,222,255,0.730461
23,222,222,222,255,0.730461
24,222,222,222,255,0.730461
25,222,222,222,255,0.730461
26,235,235,235,255,0.83077
27,235,235,235,255,0.83077
28,235,235,235,255,0.83077
29,235,235,235,255,0.83077
30,235,235,235,255,0.83077
31,222,222,222,255,0.730461
32,222,222,222,255,0.730461
33,222,222,222,255,0.730461
