sRGBA,r,g,b,a,Y
0,209,209,209,255,0.637597
1,236,236,236,255,0.838799
2,236,236,236,255,0.838799
3,236,236,236,255,0.838799
4,236,236,236,255,0.838799
5,236,236,236,255,0.838799
6,223,223,223,255,0.73791
7,223,223,223,255,0.73791
8,223,223,223,255,0.73791
9,223,223,223,255,0.73791
10,223,223,223,255,0.73791
11,209,209,209,255,0.637597
12,209,209,209,255,0.637597
13,209,209,209,255,0.637597
14,209,209,209,255,0.637597
15,209,209,209,255,0.637597
16,209,209,209,255,0.637597
17,209,209,209,255,0.637597
18,209,209,209,255,0.637597
19,209,209,209,255,0.637597
20,209,209,209,255,0.637597
21,223,223,223,255,0.73791
22,223,223,223,255,0.73791
23,223,223,223,255,0.73791
24,223,223,223,255,0.73791
25,236,236,236,255,0.838799
26,236,236,236,255,0.838799
27,236,236,236,255,0.838799
28,236,236,236,255,0.838799
29,236,236,236,255,0.838799
30,209,209,209,255,0.637597
31,209,209,209,255,0.637597
32,209,209,209,255,0.637597
33,209,209,209,255,0.637597
