sRGBA,r,g,b,a,Y
0,194,194,194,255,0.539479
1,209,209,209,255,0.637597
2,209,209,209,255,0.637597
3,209,209,209,255,0.637597
4,209,209,209,255,0.637597
5,209,209,209,255,0.637597
6,210,210,210,255,0.64448
7,210,210,210,255,0.64448
8,210,210,210,255,0.64448
9,210,210,210,255,0.64448
10,210,210,210,255,0.64448
11,194,194,194,255,0.539479
12,194,194,194,255,0.539479
13,194,194,194,255,0.539479
14,194,194,194,255,0.539479
15,194,194,194,255,0.539479
16,194,194,194,255,0.539479
17,194,194,194,255,0.539479
18,194,194,194,255,0.539479
19,194,194,194,255,0.539479
20,194,194,194,255,0.539479
21,210,210,210,255,0.64448
22,210,210,210,255,0.64448
23,210,210,210,255,0.64448
24,210,210,210,255,0.64448
25,210,210,210,255,0.64448
26,210,210,210,255,0.64448
27,210,210,210,255,0.64448
28,210,210,210,255,0.64448
29,210,210,210,255,0.64448
30,194,194,194,255,0.539479
31,194,194,194,255,0.539479
32,194,194,194,255,0.539479
33,194,194,194,255,0.539479
